approval_number,name,address,city,postcode,region,country,section,activity,slaughter,species,remarks,date_of_approval,publication_date
16,ARTISAL ET KERN,4 Ilot Est,Ehlerange,4383,Luxembourg,Luxembourg,RM,CP,N,,CP - Cutting Plant,,
88,Abattoir Beim Schmitchen,16 Haaptstrooss,Stegen,9186,,Luxembourg,RM,SH,Y,,SH - Slaughterhouse,,
LU97700026,Abattoir Ettelbruck,ZONE ARTISANALE ET COMMERCIALE,Ettelbruck,9079,Luxembourg,Luxembourg,RM,CP SH,Y,bovine caprine ovine porcine equine,CP - Cutting Plant | SH - Slaughterhouse,,
3,Abattoir Ettelbruck S.A.,Zone artisanale et commerciale 10,Ettelbruck,9085,Luxembourg,Luxembourg,RM,SH CP,Y,bovine caprine ovine equine porcine,SH - Slaughterhouse | CP - Cutting Plant,,
87,Beim Burg,41A Hauptstrooss,Lieler,9972,,Luxembourg,RM,CP,N,,CP - Cutting Plant,,
4,Boucherie - Traiteur Niessen s.a.r.l.,"103, Grand Rue",Troisvierges,9905,Luxembourg,Luxembourg,RM,CP,N,bovine caprine ovine equine porcine,CP - Cutting Plant,,
46,Boucherie Kirsch S.A.R.L.,"1, rue Charles Kieffer",Grass,8362,Luxembourg,Luxembourg,RM,CP,N,bovine caprine ovine porcine equine,CP - Cutting Plant,,
11,CARNESA SA,Route d'Arlon,Bertrange,8050,Luxembourg,Luxembourg,RM,CP,N,bovine caprine ovine equine porcine,CP - Cutting Plant,,
9,COBOLUX Production S.A.,"11, Haaptstroos",wecker,6869,Luxembourg,Luxembourg,RM,CP,N,bovine caprine ovine porcine equine,CP - Cutting Plant,,
79,Frëschzenter,8 Zone Artisanale et Commerciale,Ettelbruck,9085,Luxembourg,Luxembourg,RM,CP,N,bovine caprine ovine porcine equine,CP - Cutting Plant,,
6,LA PROVENCALE,"ZI GRASBUCH 137, LEUDELANGE, LUXEMBOURG , 3370",Leudelange,3370,Luxembourg,Luxembourg,RM,CP,N,bovine caprine ovine equine porcine,CP - Cutting Plant,,
73,Manufacture Steffen - Production Pétange,13 Route de Luxembourg,Pétange,4761,Luxembourg,Luxembourg,RM,CP,N,bovine ovine porcine,CP - Cutting Plant,,
48,SUDVIANDES SARL,"30, RUE JOSEPH KIEFER",Esch-sur-Alzette,4176,Luxembourg,Luxembourg,RM,CP,N,bovine caprine ovine porcine,CP - Cutting Plant,,
14,Salaisons Marco Meyer,"240-A, avenue de Luxembourg",Bascharage,4940,Luxembourg,Luxembourg,RM,CP,N,bovine caprine ovine equine porcine,CP - Cutting Plant,,
7,Victus Sabotic sarl,37 Rue Romain Fandel,Esch-sur-Alzette,4149,Luxembourg,Luxembourg,RM,CP,N,bovine ovine,CP - Cutting Plant,,
LU-VB 20221110-02,ARTISAL ET KERN,4 Ilot Est,Ehlerange,4383,Luxembourg,Luxembourg,PM,CP,N,,CP - Cutting Plant,,
10g,Caterman S.A.,3 Rue des Trois Cantons,Wandhaff,8399,A Poultry,Luxembourg,PM,CP,N,,CP - Cutting Plant,,
13,KAEMPFF-KOHLER,40 RUE GABRIEL LIPPMANN,Niederanven,6990,Luxembourg; wU Wild ungulates,Luxembourg,WM,GHE CP,N,,GHE - Game-Handling Establishment | CP - Cutting Plant,,
LU14 (14),Salaisons Marco Meyer,"240-A, avenue de Luxembourg",Bascharage,4940,Luxembourg; wU Wild ungulates,Luxembourg,WM,GHE CP,N,bovine,GHE - Game-Handling Establishment | CP - Cutting Plant,,
